,strategy,period,days,trades,final_value,total_return_pct,max_dd_pct,sharpe,performance,portfolio
0,TrendFollowing,start to end,756,59,12191.062850952148,21.91062850952148,-8.183846850402885,1.0227322628518387,"                    Cash  Portfolio_value  AAPL  JNJ  SPY  Daily_Return   Rolling_Max  Drawdown
START       10000.000000     10000.000000   0.0  0.0  0.0           NaN  10000.000000  0.000000
2020-01-02  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2020-01-03  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2020-01-06  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2020-01-07  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
...                  ...              ...   ...  ...  ...           ...           ...       ...
2022-12-23  12191.062851     12191.062851   0.0  0.0  0.0           0.0  12471.015701 -0.022448
2022-12-27  12191.062851     12191.062851   0.0  0.0  0.0           0.0  12471.015701 -0.022448
2022-12-28  12191.062851     12191.062851   0.0  0.0  0.0           0.0  12471.015701 -0.022448
2022-12-29  12191.062851     12191.062851   0.0  0.0  0.0           0.0  12471.015701 -0.022448
2022-12-30  12191.062851     12191.062851   0.0  0.0  0.0           0.0  12471.015701 -0.022448

[757 rows x 8 columns]",<backtester.portfolio.Portfolio object at 0x1138e5700>
1,TrendFollowing,2020-01-01 to 2020-12-31,253,17,11333.554077148438,13.335540771484379,-4.08808357853067,1.7353298894373885,"                    Cash  Portfolio_value  AAPL   JNJ   SPY  Daily_Return   Rolling_Max  Drawdown
START       10000.000000     10000.000000   0.0   0.0   0.0           NaN  10000.000000  0.000000
2020-01-02  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2020-01-03  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2020-01-06  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2020-01-07  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
...                  ...              ...   ...   ...   ...           ...           ...       ...
2020-12-24   5186.387177     11238.392639  10.0  10.0  10.0      0.002478  11347.473373 -0.009613
2020-12-28   5186.387177     11320.177612  10.0  10.0  10.0      0.007277  11347.473373 -0.002405
2020-12-29   5186.387177     11304.075928  10.0  10.0  10.0     -0.001422  11347.473373 -0.003824
2020-12-30   5186.387177     11314.398346  10.0  10.0  10.0      0.000913  11347.473373 -0.002915
2020-12-31   5186.387177     11333.554077  10.0  10.0  10.0      0.001693  11347.473373 -0.001227

[254 rows x 8 columns]",<backtester.portfolio.Portfolio object at 0x11578af60>
2,TrendFollowing,2021-01-01 to 2021-12-31,252,19,11081.460571289062,10.814605712890636,-2.317114282783161,1.8740983135302858,"                    Cash  Portfolio_value  AAPL   JNJ   SPY  Daily_Return   Rolling_Max  Drawdown
START       10000.000000     10000.000000   0.0   0.0   0.0           NaN  10000.000000  0.000000
2021-01-04  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2021-01-05  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2021-01-06  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2021-01-07  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
...                  ...              ...   ...   ...   ...           ...           ...       ...
2021-12-27   3327.917938     11117.797546  10.0  10.0  10.0      0.010479  11117.797546  0.000000
2021-12-28   3327.917938     11109.969482  10.0  10.0  10.0     -0.000704  11117.797546 -0.000704
2021-12-29   3327.917938     11127.295380  10.0  10.0  10.0      0.001559  11127.295380  0.000000
2021-12-30   3327.917938     11110.011292  10.0  10.0  10.0     -0.001553  11127.295380 -0.001553
2021-12-31   3327.917938     11081.460571  10.0  10.0  10.0     -0.002570  11127.295380 -0.004119

[253 rows x 8 columns]",<backtester.portfolio.Portfolio object at 0x1152cce00>
3,TrendFollowing,2022-01-01 to end,251,18,9964.541473388672,-0.3545852661132831,-9.024289509143593,-0.0005126164962530657,"                    Cash  Portfolio_value  AAPL  JNJ  SPY  Daily_Return   Rolling_Max  Drawdown
START       10000.000000     10000.000000   0.0  0.0  0.0           NaN  10000.000000  0.000000
2022-01-03  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2022-01-04  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2022-01-05  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2022-01-06  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
...                  ...              ...   ...  ...  ...           ...           ...       ...
2022-12-23   9964.541473      9964.541473   0.0  0.0  0.0           0.0  10138.844147 -0.017192
2022-12-27   9964.541473      9964.541473   0.0  0.0  0.0           0.0  10138.844147 -0.017192
2022-12-28   9964.541473      9964.541473   0.0  0.0  0.0           0.0  10138.844147 -0.017192
2022-12-29   9964.541473      9964.541473   0.0  0.0  0.0           0.0  10138.844147 -0.017192
2022-12-30   9964.541473      9964.541473   0.0  0.0  0.0           0.0  10138.844147 -0.017192

[252 rows x 8 columns]",<backtester.portfolio.Portfolio object at 0x115a33fe0>
4,MeanReversion,start to end,756,59,9769.220542907715,-2.30779457092285,-27.10965243225809,0.05264372241069344,"                    Cash  Portfolio_value  AAPL   JNJ   SPY  Daily_Return   Rolling_Max  Drawdown
START       10000.000000     10000.000000   0.0   0.0   0.0           NaN  10000.000000  0.000000
2020-01-02  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2020-01-03  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2020-01-06  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2020-01-07  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
...                  ...              ...   ...   ...   ...           ...           ...       ...
2022-12-23   1920.573387      9819.438133  20.0  10.0  10.0      0.001823  10615.577354 -0.074997
2022-12-27   1920.573387      9768.410759  20.0  10.0  10.0     -0.005197  10615.577354 -0.079804
2022-12-28   1920.573387      9637.203484  20.0  10.0  10.0     -0.013432  10615.577354 -0.092164
2022-12-29   1920.573387      9780.932426  20.0  10.0  10.0      0.014914  10615.577354 -0.078625
2022-12-30   1920.573387      9769.220543  20.0  10.0  10.0     -0.001197  10615.577354 -0.079728

[757 rows x 8 columns]",<backtester.portfolio.Portfolio object at 0x115843bf0>
5,MeanReversion,2020-01-01 to 2020-12-31,253,18,9670.288887023926,-3.2971111297607436,-27.10965243225809,0.009477588870488553,"                    Cash  Portfolio_value  AAPL  JNJ  SPY  Daily_Return   Rolling_Max  Drawdown
START       10000.000000     10000.000000   0.0  0.0  0.0           NaN  10000.000000  0.000000
2020-01-02  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2020-01-03  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2020-01-06  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2020-01-07  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
...                  ...              ...   ...  ...  ...           ...           ...       ...
2020-12-24   9670.288887      9670.288887   0.0  0.0  0.0           0.0  10038.218765 -0.036653
2020-12-28   9670.288887      9670.288887   0.0  0.0  0.0           0.0  10038.218765 -0.036653
2020-12-29   9670.288887      9670.288887   0.0  0.0  0.0           0.0  10038.218765 -0.036653
2020-12-30   9670.288887      9670.288887   0.0  0.0  0.0           0.0  10038.218765 -0.036653
2020-12-31   9670.288887      9670.288887   0.0  0.0  0.0           0.0  10038.218765 -0.036653

[254 rows x 8 columns]",<backtester.portfolio.Portfolio object at 0x115a67fe0>
6,MeanReversion,2021-01-01 to 2021-12-31,252,16,10381.031341552734,3.8103134155273333,-5.734751579325681,0.5774869444528342,"                    Cash  Portfolio_value  AAPL  JNJ  SPY  Daily_Return   Rolling_Max  Drawdown
START       10000.000000     10000.000000   0.0  0.0  0.0           NaN  10000.000000  0.000000
2021-01-04  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2021-01-05  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2021-01-06  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
2021-01-07  10000.000000     10000.000000   0.0  0.0  0.0           0.0  10000.000000  0.000000
...                  ...              ...   ...  ...  ...           ...           ...       ...
2021-12-27  10381.031342     10381.031342   0.0  0.0  0.0           0.0  10438.400421 -0.005496
2021-12-28  10381.031342     10381.031342   0.0  0.0  0.0           0.0  10438.400421 -0.005496
2021-12-29  10381.031342     10381.031342   0.0  0.0  0.0           0.0  10438.400421 -0.005496
2021-12-30  10381.031342     10381.031342   0.0  0.0  0.0           0.0  10438.400421 -0.005496
2021-12-31  10381.031342     10381.031342   0.0  0.0  0.0           0.0  10438.400421 -0.005496

[253 rows x 8 columns]",<backtester.portfolio.Portfolio object at 0x115a44950>
7,MeanReversion,2022-01-01 to end,251,20,9290.601806640625,-7.093981933593751,-13.16577927647566,-0.3598744748834521,"                    Cash  Portfolio_value  AAPL   JNJ   SPY  Daily_Return   Rolling_Max  Drawdown
START       10000.000000     10000.000000   0.0   0.0   0.0           NaN  10000.000000  0.000000
2022-01-03  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2022-01-04  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2022-01-05  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
2022-01-06  10000.000000     10000.000000   0.0   0.0   0.0      0.000000  10000.000000  0.000000
...                  ...              ...   ...   ...   ...           ...           ...       ...
2022-12-23   1441.954651      9340.819397  20.0  10.0  10.0      0.001917  10180.233002 -0.082455
2022-12-27   1441.954651      9289.792023  20.0  10.0  10.0     -0.005463  10180.233002 -0.087468
2022-12-28   1441.954651      9158.584747  20.0  10.0  10.0     -0.014124  10180.233002 -0.100356
2022-12-29   1441.954651      9302.313690  20.0  10.0  10.0      0.015693  10180.233002 -0.086238
2022-12-30   1441.954651      9290.601807  20.0  10.0  10.0     -0.001259  10180.233002 -0.087388

[252 rows x 8 columns]",<backtester.portfolio.Portfolio object at 0x115a07d40>
