,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl
0,JNJ,2022-01-31,2022-02-15,153.2439422607422,148.81446838378906,10,-44.29473876953125
1,SPY,2022-02-08,2022-02-16,426.5529174804687,422.4476623535156,10,-41.05255126953068
2,AAPL,2022-02-02,2022-02-22,172.22711181640625,161.1488494873047,10,-110.78262329101562
3,SPY,2022-03-18,2022-04-11,421.786376953125,417.4216613769531,10,-43.64715576171875
4,AAPL,2022-03-22,2022-04-12,165.56199645996094,164.42437744140625,10,-11.376190185546875
5,JNJ,2022-03-04,2022-05-03,151.71226501464844,159.59860229492188,10,78.86337280273438
6,JNJ,2022-05-25,2022-06-07,161.82241821289062,160.6692352294922,10,-11.531829833984375
7,AAPL,2022-06-02,2022-06-10,148.50973510742188,134.68115234375,10,-138.28582763671875
8,SPY,2022-05-31,2022-06-13,391.8120422363281,355.8217468261719,10,-359.9029541015625
9,JNJ,2022-06-24,2022-07-15,164.22784423828125,160.5701141357422,10,-36.577301025390625
10,SPY,2022-07-07,2022-07-18,370.6906127929687,363.9818420410156,10,-67.08770751953068
11,SPY,2022-07-19,2022-08-25,373.8162536621094,399.77490234375,10,259.58648681640625
12,AAPL,2022-07-01,2022-08-26,136.44900512695312,160.9213104248047,10,244.72305297851562
13,JNJ,2022-09-16,2022-10-03,152.00794982910156,148.01730346679688,10,-39.906463623046875
14,AAPL,2022-10-21,2022-11-07,144.84100341796875,136.85537719726562,10,-79.85626220703125
15,AAPL,2022-11-15,2022-12-02,147.8101043701172,145.6132354736328,10,-21.96868896484375
16,SPY,2022-10-20,2022-12-08,349.6504211425781,379.1506652832031,10,295.00244140625
17,JNJ,2022-10-17,2022-12-20,151.09193420410156,160.35557556152344,10,92.63641357421875
