ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl
JNJ,2020-01-30,2020-02-19,126.99810028076172,125.79875183105467,10,-11.993484497070455
AAPL,2020-01-30,2020-02-24,78.14314270019531,72.11541748046875,10,-60.277252197265625
SPY,2020-02-07,2020-02-25,304.4158630371094,286.50103759765625,10,-179.14825439453125
JNJ,2020-04-02,2020-05-06,113.17920684814452,125.86992645263672,10,126.90719604492202
JNJ,2020-06-02,2020-06-10,126.88792419433594,126.50276184082033,10,-3.851623535156108
SPY,2020-04-03,2020-06-17,228.7696075439453,287.2732238769531,10,585.0361633300781
SPY,2020-06-18,2020-06-24,287.38372802734375,281.5289611816406,10,-58.54766845703125
AAPL,2020-04-08,2020-07-28,64.34956359863281,90.4574203491211,10,261.0785675048828
JNJ,2020-07-08,2020-07-31,122.62554168701172,124.75669860839844,10,21.311569213867188
JNJ,2020-08-12,2020-09-08,128.09478759765625,126.87947082519533,10,-12.153167724609233
AAPL,2020-07-31,2020-09-09,103.0750503540039,114.00873565673828,10,109.33685302734375
SPY,2020-07-06,2020-09-10,293.5274658203125,309.1180419921875,10,155.90576171875
JNJ,2020-10-02,2020-10-19,126.00064849853516,124.34635925292967,10,-16.54289245605483
AAPL,2020-10-01,2020-10-23,113.49370574951172,111.79309844970705,10,-17.006072998046733
SPY,2020-10-02,2020-10-27,310.3089904785156,314.3802490234375,10,40.71258544921875
AAPL,2020-11-09,2020-11-27,113.2319564819336,113.49480438232422,10,2.62847900390625
JNJ,2020-11-10,2020-11-30,127.75830841064452,125.52272033691406,10,-22.355880737304545
AAPL,2020-12-01,2021-01-12,119.46207427978516,125.38065338134766,10,59.185791015625
SPY,2020-11-06,2021-02-01,325.4786682128906,351.20184326171875,10,257.23175048828125
JNJ,2020-12-02,2021-02-04,128.52462768554688,140.54071044921875,10,120.16082763671875
AAPL,2021-01-22,2021-02-16,135.3780059814453,129.84786987304688,10,-55.301361083984375
JNJ,2021-02-09,2021-02-22,144.2539825439453,141.3123321533203,10,-29.41650390625
SPY,2021-02-05,2021-02-26,361.9180603027344,355.0570373535156,10,-68.6102294921875
AAPL,2021-03-18,2021-03-23,117.50553131103516,119.465087890625,10,19.595565795898438
JNJ,2021-03-16,2021-04-13,140.8758087158203,139.22586059570312,10,-16.499481201171875
AAPL,2021-04-05,2021-05-04,122.74078369140624,124.64186096191406,10,19.010772705078267
SPY,2021-03-12,2021-05-12,367.8456726074219,379.68011474609375,10,118.34442138671875
JNJ,2021-04-21,2021-06-02,145.43292236328125,145.99761962890625,10,5.64697265625
SPY,2021-05-26,2021-06-22,392.47320556640625,397.55316162109375,10,50.799560546875
SPY,2021-06-23,2021-07-22,397.0740051269531,409.15716552734375,10,120.83160400390625
AAPL,2021-06-09,2021-08-02,124.15044403076172,142.10943603515625,10,179.5899200439453
AAPL,2021-08-04,2021-08-10,143.50588989257812,142.40060424804688,10,-11.0528564453125
JNJ,2021-07-01,2021-08-30,145.7868194580078,153.4573516845703,10,76.705322265625
SPY,2021-07-23,2021-09-14,413.3666687011719,417.3411865234375,10,39.74517822265625
AAPL,2021-08-12,2021-09-15,145.61830139160156,145.75521850585938,10,1.369171142578125
JNJ,2021-10-20,2021-11-11,144.72674560546875,144.09046936035156,10,-6.362762451171875
AAPL,2021-10-18,2021-11-12,143.3297119140625,146.908203125,10,35.784912109375
SPY,2021-10-14,2021-11-29,417.1039733886719,437.9355773925781,10,208.3160400390625
AAPL,2021-11-17,2022-01-10,150.33633422851562,168.65206909179688,10,183.1573486328125
SPY,2021-12-10,2022-01-10,443.7231750488281,440.3349609375,10,-33.88214111328125
JNJ,2021-12-08,2022-01-14,146.1728057861328,149.28587341308594,10,31.13067626953125
JNJ,2022-01-31,2022-02-15,153.2439422607422,148.81446838378906,10,-44.29473876953125
SPY,2022-02-08,2022-02-16,426.5529174804687,422.4476623535156,10,-41.05255126953068
AAPL,2022-02-02,2022-02-22,172.22711181640625,161.1488494873047,10,-110.78262329101562
SPY,2022-03-18,2022-04-11,421.786376953125,417.4216613769531,10,-43.64715576171875
AAPL,2022-03-22,2022-04-12,165.56199645996094,164.42437744140625,10,-11.376190185546875
JNJ,2022-03-04,2022-05-03,151.71226501464844,159.59860229492188,10,78.86337280273438
JNJ,2022-05-25,2022-06-07,161.82241821289062,160.6692352294922,10,-11.531829833984375
AAPL,2022-06-02,2022-06-10,148.50973510742188,134.68115234375,10,-138.28582763671875
SPY,2022-05-31,2022-06-13,391.8120422363281,355.8217468261719,10,-359.9029541015625
JNJ,2022-06-24,2022-07-15,164.22784423828125,160.5701141357422,10,-36.577301025390625
SPY,2022-07-07,2022-07-18,370.6906127929687,363.9818420410156,10,-67.08770751953068
SPY,2022-07-19,2022-08-25,373.8162536621094,399.77490234375,10,259.58648681640625
AAPL,2022-07-01,2022-08-26,136.44900512695312,160.9213104248047,10,244.72305297851562
JNJ,2022-09-16,2022-10-03,152.00794982910156,148.01730346679688,10,-39.906463623046875
AAPL,2022-10-21,2022-11-07,144.84100341796875,136.85537719726562,10,-79.85626220703125
AAPL,2022-11-15,2022-12-02,147.8101043701172,145.6132354736328,10,-21.96868896484375
SPY,2022-10-20,2022-12-08,349.6504211425781,379.1506652832031,10,295.00244140625
JNJ,2022-10-17,2022-12-20,151.09193420410156,160.35557556152344,10,92.63641357421875
